timestamp,delay,lat,relation,train_number,service_type,line,lon,elvira_id
2024-12-10 00:19:06,65,48.08986,Wien Hbf - Chop,55149,MAV,1,21.87533,6995254_241209
2024-12-10 00:19:06,0,47.51219,Budapest-Nyugati - Esztergom,552010,MAV,,19.05827,6812477_241210
2024-12-10 00:19:06,0,47.60548,Esztergom - Budapest-Nyugati,552181,MAV,,18.9199,6824173_241209
2024-12-10 00:19:06,0,47.73742,Budapest-Nyugati - Esztergom,552188,MAV,,18.7143,6823810_241209
2024-12-10 00:19:06,4,47.51312,Szob - Budapest-Nyugati,552361,MAV,,19.06068,6830490_241209
2024-12-10 00:19:06,9,47.62535,Budapest-Nyugati - Szob,552398,MAV,,19.13595,6829991_241209
2024-12-10 00:19:06,1,47.56254,Budapest-Nyugati - Vác,552510,MAV,,19.11114,6830501_241210
2024-12-10 00:19:06,0,47.7731,Budapest-Nyugati - Vác,552598,MAV,,19.14989,6831079_241209
2024-12-10 00:19:06,17,47.43718,Szolnok - Budapest-Nyugati,552621,MAV,,19.22396,6834907_241209
2024-12-10 00:19:06,1,47.17633,Budapest-Nyugati - Szolnok,552638,MAV,,20.08546,6834911_241209
2024-12-10 00:19:06,1,47.39151,Budapest-Nyugati - Szolnok,552648,MAV,,19.34143,6834899_241209
2024-12-10 00:19:06,0,47.0684,Budapest-Nyugati - Lajosmizse,552958,MAV,,19.49864,6874643_241209
2024-12-10 00:19:06,0,47.34248,Budapest-Nyugati - Lajosmizse,552968,MAV,,19.23043,6874467_241209
2024-12-10 00:19:06,4,47.48776,Budapest-Keleti - Hatvan,553068,MAV,,19.27279,6823631_241209
2024-12-10 00:19:06,1,48.05462,Vác - Balassagyarmat,5532258,MAV,,19.12293,6832992_241209
2024-12-10 00:19:06,7,47.35202,Budapest-Keleti - Szolnok,553378,MAV,,19.85057,6831223_241209
2024-12-10 00:19:06,7,47.45671,Budapest-Keleti - Szolnok,553388,MAV,,19.29546,6831228_241209
2024-12-10 00:19:06,9,47.33304,Wien Hbf - Bucureşti Nord,55347,MAV,1,19.92083,7012398_241209
2024-12-10 00:19:06,10,48.05131,Nyíregyháza - Vásárosnamény,5536028,MAV,,22.201,6830850_241209
2024-12-10 00:19:06,0,46.33574,Békéscsaba - Mezőhegyes,5537038,MAV,,20.84468,7904144_241209
2024-12-10 00:19:06,14,46.89726,Békéscsaba - Vésztő,5537638,MAV,128,21.32554,6867065_241209
2024-12-10 00:19:06,0,47.36964,Budapest-Déli - Pusztaszabolcs,554138,MAV,,18.90085,6828266_241209
2024-12-10 00:19:06,2,47.17209,Budapest-Déli - Székesfehérvár,554768,MAV,,18.4897,7570938_241209
2024-12-10 00:19:06,0,47.49787,Budapest-Déli - Székesfehérvár,554770,MAV,,19.02592,7570939_241210
2024-12-10 00:19:06,8,47.46245,Győr - Budapest-Déli,554951,MAV,,18.87281,6831780_241209
2024-12-10 00:19:06,1,47.58788,Budapest-Déli - Győr,554968,MAV,,18.39064,6828493_241209
2024-12-10 00:19:06,0,47.99273,Budapest-Keleti - Miskolc-Tiszai,555008,MAV,,20.84057,6827830_241209
2024-12-10 00:19:06,1,47.68116,Budapest-Keleti - Füzesabony,555018,MAV,,19.88113,6831031_241209
2024-12-10 00:19:06,52,48.04516,Miskolc-Tiszai - Nyíregyháza,555158,MAV,80,21.00835,6828222_241209
2024-12-10 00:19:06,71,48.22212,Miskolc-Tiszai - Ózd,555438,MAV,,20.70864,6830011_241209
2024-12-10 00:19:06,54,47.9684,Hatvan - Somoskőújfalu,555848,MAV,81,19.77476,6832402_241209
2024-12-10 00:19:06,10,47.17001569,Budapest-Nyugati - Debrecen,556098,MAV,,20.41251961,8173577_241209
2024-12-10 00:19:06,0,47.9215,Debrecen - Mátészalka,556338,MAV,,22.25534,6835328_241209
2024-12-10 00:19:06,0,47.6253,Debrecen - Tiszafüred,556648,MAV,,20.78566,6834157_241209
2024-12-10 00:19:06,3,46.52717,Budapest-Nyugati - Szeged,557028,MAV,,19.9182,6980316_241209
2024-12-10 00:19:06,0,47.126,Budapest-Déli - Veszprém,559068,MAV,,17.95244,6828487_241209
2024-12-10 00:19:06,0,47.54252162,Örs vezér tere - Gödöllő,36H1118,HEV,,19.25457585,1050930#933_241209
2024-12-10 00:19:06,0,47.31828038,Közvágóhíd - Ráckeve,36H2068,HEV,,18.97987153,1050761#953_241209
2024-12-10 00:19:06,0,47.64293458,Batthyány tér - Szentendre,36H4218,HEV,,19.03260838,1050335#1147_241209
2024-12-10 00:19:06,0,47.5071,Batthyány tér - Szentendre,36H8000,HEV,,19.03941,1050454#977_241209
