Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,Torontál utca H,23:45,23:45,23:45,23:45,A,not passed
,Soroksár felső H,23:48,23:48,23:48,23:49,A,not passed
,"Soroksár, Hősök tere H",23:51,23:51,23:51,23:52,A,not passed
,Szent István utca H,23:53,23:53,23:53,23:54,A,not passed
,Millenniumtelep H,23:56,23:56,23:56,23:57,A,not passed
,Dunaharaszti felső H,23:58,23:59,23:58,23:59,A,not passed
,Dunaharaszti külső H,00:01,00:02,00:02,00:03,3,not passed
,Szigetszentmiklós H,00:07,00:07,00:07,00:07,A,not passed
,József Attila-telep H,00:10,00:10,00:10,00:10,A,not passed
,Szigetszentmiklós-Gyártelep H,00:14,00:14,00:14,00:14,3,not passed
,Szigethalom H,00:16,00:16,00:16,00:16,A,not passed
,Szigethalom alsó H,00:18,00:18,00:18,00:18,A,not passed
,Tököl H,00:21,00:21,00:21,00:21,1,not passed
,Szigetcsép H,00:28,00:28,00:28,00:28,3,not passed
,Szigetszentmárton-Szigetújfalu H,00:35,00:35,00:35,00:35,A,not passed
,Horgásztanyák H,00:38,00:38,00:38,00:38,A,not passed
,Angyalisziget H,00:41,00:41,00:41,00:41,A,not passed
,Ráckeve H,00:45,00:45,,,3,not passed
